Name,Tagline,Description,Category,YouTube link,Founded in,Name of the Founders,Special Features,Pricing Plans,Wesbiste Link,Logo
,,,,,,,,,,
Marr Labs,AI-voice agents that are indistinguishable from humans.,"Out of the box, Vox just works. This frees up your workforce to focus on critical issues. With Vox’s 24/7 conversational intelligence, your team can close more business and handle more customer service issues with a human touch.",AI Agents,https://www.youtube.com/watch?v=UWaAL1MSOZ8&t=21s,2023,Dave Grannan and Han Shu,"Scheduler, Lead pre-qualification, Data acquisition, Sales agent, Customer service agent, Personal assistant",Contact Us,https://www.marrlabs.com/,https://bookface-images.s3.amazonaws.com/logos/ae38baa345d785a0b16c12dceb9a7089620d0f69.png
Powder,Sales platform for wealth advisors,Powder is an AI tool that helps wealth advisors rapidly create sales proposals that are personalized for each prospective client.,AI Agents,https://www.loom.com/share/dc39064983f7419da5d18487bdcf66ca?sid=2bad694c-d9d9-44a7-a904-ea5f3cb00a31,2023,"Kanishk Parashar, Soo Yung Cho, David Goerz, Dominic Tully","Brokerage, tax and estate document parser, Meeting notetaker, Portfolio analysis tool",$500/user/month,https://www.powderfi.com/index.html,https://bookface-images.s3.amazonaws.com/small_logos/c6603ab4de90057f1854b7b4b75d28ec647c3aa7.png
OpenFoundry,The fastest developer experience for building on open source AI.,"OpenFoundry is an open source platform that helps engineers build, deploy, and scale their open source AI stack 10x faster. Ship your AI stack with just one line of code.",Code Assistants,https://www.youtube.com/watch?v=49ay9Gqbc1U,2023,"Tyler Lehman, Arthur Chi","Ship to your cloud, Find the best models, Prototype and fine-tune",Contact Us,https://www.openfoundry.ai,https://bookface-images.s3.amazonaws.com/small_logos/7ce4129c96ae12a1f36222fb4e03f8ee4c1b0306.png
Veles,Copilot for Enterprise Software Sales,"Introducing Veles – your copilot for enterprise software sales. Veles empowers sales reps to comprehend and convey pricing effectively, crafting dynamic quotes that maximize deal size.",AI Agents,https://www.loom.com/share/5ed62a735cd04031a79062374185e6cf?sid=9f294ec9-8669-490c-956b-ad2a3dc35b45,2023,"Simon Ooley, Patrick Koperwas","SaaS Pricing Calculator, Standard Deal Definition, Performance Analytics, Alignment & Optimization",Contact Us,https://www.getveles.com,https://bookface-images.s3.amazonaws.com/small_logos/f31690807aa0caf76a46157dc028528285b5989d.png
Fluently,AI-powered speaking coach for calls,"Fluently is an app that helps non-native professionals improve their English with instant feedback after each Zoom call. Imagine having a personal coach, always listening and providing tips.",AI Agents,https://www.youtube.com/watch?v=4O-zjeu_slw,2023,"Yurii Rebryk, Stanislav Beliaev","Learn on the go, Personalized insights, Actionable feedback",Contact Us,https://getfluently.app,https://bookface-images.s3.amazonaws.com/small_logos/db75913515757a481b98e83535c57ea70d7b0fd8.png
Basepilot,"AI coworkers to automate browser work, in minutes.","Basepilot builds AI coworkers that collaborate with humans to automate work across the browser. They learn from what you do and you can teach them new skills, just by demonstration.",AI Agents,https://www.youtube.com/watch?v=TxvHeF--NU4&t=2s,2024,"Ken Hendricks, Pascal Wieler","Sales, Recruitment, Finance, Any other manual task",Contact Us,https://www.basepilot.com/,https://bookface-images.s3.amazonaws.com/small_logos/2ab7f5055bddb0617e16226359b7395d5b8354b2.png
Sonauto,Create hit songs with AI,"Sonauto is an AI music editor that turns prompts, lyrics, or melodies into full songs in any style. For example, in a few minutes with Sonauto you can make an original birthday song for your friend, sung by Frank Sinatra.",Multimedia Generation,https://www.youtube.com/watch?v=NFSsA5P4OUw,2023,"Ryan Tremblay, Hayden Housen","Text-to-music service, Share, Comment, Remix the creations of others",Contact Us,https://sonauto.ai/Home,https://bookface-images.s3.amazonaws.com/small_logos/30eb9790545896983b2bcc8e7e3026af2fc31212.png
Amber AI,Co-pilot for Account Managers,Amber is an extension of your post-sales team that has context on every customer and every action. ,AI Agents,https://youtu.be/DTjH5RTE4Lo,2024,"Oliver Zou, Helen Wu","Automate reactive responses, Supercharge proactive outreach",Contact Us,https://www.helloamber.ai,https://bookface-images.s3.amazonaws.com/small_logos/ff0aee737867b4cc208ed70d985fdd52233ec5bc.png
Alai,Create high quality presentations faster using AI,"Alai helps tech professionals create high quality presentations faster using AI. For example, a product manager can enter their proposal in plaintext and get polished slide options without spending hours on design.",Multimedia Generation,https://www.getalai.com,2023,"Anmol Sood, Krishna Gupta","Get multiple slide options, Built-in iteration loop with AI",Contact Us,https://www.getalai.com,https://bookface-images.s3.amazonaws.com/small_logos/42e82b3576df0a2209e04cffa66aeabe46f8a18a.png
